table_id,table_number,page,caption_text,caption_chunk,file,rows,cols,score
table_0001,1,18,Таблица 1 — Рекомендуемые форматы файлов и их поддержка в мессенджерах,ch0142,data\tables\table_0001.csv,4,5,0.999889612197876
table_0002,2,58,Таблица 2 — Состояние диалога во время начала рассылки по ключевым словам,ch0591,data\tables\table_0002.csv,3,10,0.9997445940971375
table_0003,3,64,Таблица 3 — Определение типа аудитории в зависимости от условий начала рассылки,ch0683,data\tables\table_0003.csv,3,14,0.999809205532074
table_0004,4,66,Таблица 4 — Описание полей JSON-файла описания аудитории рассылки,ch0727,data\tables\table_0004.csv,15,9,0.9999120235443115
table_0005,5,68,Таблица 5 — Описание полей CSV-файла описания аудитории рассылки,ch0792,data\tables\table_0005.csv,5,12,0.999853253364563
table_0006,6,72,Таблица 6 — Возможности внесения изменений в рассылку в зависимости от ее состояния,ch0844,data\tables\table_0006.csv,3,9,0.9998854398727417
table_0007,7,109,Таблица 7 – Правила сохранения ответов на вопросы различных типов,ch1308,data\tables\table_0007.csv,3,22,0.9997642636299133
table_0008,8,131,Таблица 8 — Описание столбцов в журнале рассылок,ch1548,data\tables\table_0008.csv,3,17,0.9997808337211609
table_0009,9,134,Таблица 9 – Структура полей выгружаемого CSV-файла со статистикой,ch1598,data\tables\table_0009.csv,3,5,0.9998449087142944
table_0010,10,137,Таблица 10 — Описание фильтров для поиска событий,ch1629,data\tables\table_0010.csv,5,35,0.9993233680725098
table_0011,11,145,Таблица 11 — Описание фильтров для поиска рассылок,ch1741,data\tables\table_0011.csv,2,8,0.9998007416725159
table_0012,12,159,Таблица 12 — Запросы к API консоли маркетолога,ch1875,data\tables\table_0012.csv,11,7,0.9997555613517761
